;Mots;00100;00200;00110;00210;00120;00220;00101;00201;00111;00211;00121;00221;00102;00202;00112;00212;00122;00222;00000;00010;00020;00001;00011;00021;00002;00012;00022;01100;02100;01200;02200;01110;02110;01210;02210;01120;02120;01220;02220;01101;02101;01201;02201;01111;02111;01211;02211;01121;02121;01221;02221;01102;02102;01202;02202;01112;02112;01212;02212;01122;02122;01222;02222;01000;02000;01010;02010;01020;02020;01001;02001;01011;02011;01021;02021;01002;02002;01012;02012;01022;02022;10100;20100;10200;20200;10110;20110;10210;20210;10120;20120;10220;20220;10101;20101;10201;20201;10111;20111;10211;20211;10121;20121;10221;20221;10102;20102;10202;20202;10112;20112;10212;20212;10122;20122;10222;20222;10000;20000;10010;20010;10020;20020;10001;20001;10011;20011;10021;20021;10002;20002;10012;20012;10022;20022;11100;21100;12100;22100;11200;21200;12200;22200;11110;21110;12110;22110;11210;21210;12210;22210;11120;21120;12120;22120;11220;21220;12220;22220;11101;21101;12101;22101;11201;21201;12201;22201;11111;21111;12111;22111;11211;21211;12211;22211;11121;21121;12121;22121;11221;21221;12221;22221;11102;21102;12102;22102;11202;21202;12202;22202;11112;21112;12112;22112;11212;21212;12212;22212;11122;21122;12122;22122;11222;21222;12222;22222;11000;21000;12000;22000;11010;21010;12010;22010;11020;21020;12020;22020;11001;21001;12001;22001;11011;21011;12011;22011;11021;21021;12021;22021;11002;21002;12002;22002;11012;21012;12012;22012;11022;21022;12022;22022;sum;average
9;temps;555;170;63;29;26;24;141;58;4;4;3;3;113;50;3;3;2;2;4046;589;89;1361;188;16;841;124;10;322;53;101;19;34;4;16;3;13;3;11;3;80;13;39;8;2;1;2;1;1;1;1;1;68;10;35;6;2;1;2;1;1;1;1;1;2214;413;312;58;44;6;667;145;91;22;6;4;361;74;50;11;2;2;103;19;23;11;5;3;4;3;4;3;4;3;18;4;3;3;1;1;1;1;1;1;1;1;18;4;3;3;1;1;1;1;1;1;1;1;1057;250;123;20;9;7;298;79;32;7;1;1;172;58;22;7;1;1;49;12;11;4;12;6;6;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;7;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;514;138;124;35;56;13;14;3;7;6;3;3;128;37;34;6;14;4;4;1;1;1;1;1;62;27;14;5;8;4;1;1;1;1;1;1;17753;1.8056750659595717
10;alors;1128;171;360;59;78;11;344;59;87;15;21;5;204;39;50;10;10;1;4046;1481;281;1361;378;58;841;241;26;244;34;55;32;30;3;4;3;7;3;3;3;62;9;17;9;3;1;1;1;2;1;1;1;44;7;9;7;3;1;1;1;2;1;1;1;861;161;155;17;24;8;225;45;16;1;4;1;148;34;14;1;4;1;203;40;40;31;51;14;9;9;12;7;5;5;41;9;13;7;4;1;1;1;3;1;1;1;21;8;11;7;2;1;1;1;1;1;1;1;1559;272;519;85;110;35;492;82;104;17;20;3;280;63;76;16;8;2;43;5;3;2;9;5;3;2;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;2;2;2;4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;337;44;78;21;57;4;9;3;4;1;3;1;85;10;22;6;5;1;1;1;1;1;1;1;43;8;14;5;3;1;1;1;1;1;1;1;18943;1.926711134708059
11;leurs;977;295;307;88;69;40;326;99;85;28;22;16;192;55;55;21;11;10;4046;1481;281;1361;378;58;841;241;26;520;89;166;28;160;36;42;9;30;9;14;9;150;28;44;13;40;10;11;4;7;4;5;4;81;24;23;10;24;10;10;4;4;4;4;4;2214;413;853;190;162;28;667;145;196;62;27;11;361;74;100;28;9;4;187;43;71;16;31;12;12;6;9;7;5;5;36;7;14;4;3;2;2;2;2;2;2;2;25;7;10;4;3;2;2;2;2;2;2;2;861;183;155;42;24;16;225;57;16;7;4;3;148;42;14;6;4;3;99;23;16;2;41;9;10;2;16;7;5;2;6;3;2;2;4;4;2;2;2;2;2;2;20;3;9;2;10;2;7;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;15;3;6;2;6;2;4;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;471;109;74;20;89;30;21;4;14;10;2;2;105;27;21;7;9;4;4;2;2;2;2;2;59;17;13;5;8;3;4;2;2;2;2;2;22522;2.2907347397927946
12;homme;555;170;555;170;119;20;322;101;322;101;72;12;196;47;196;47;68;12;4046;555;119;2214;322;72;1309;196;68;157;114;54;46;157;114;54;46;34;28;17;17;64;55;23;21;64;55;23;21;19;17;10;10;52;47;20;20;52;47;20;20;19;17;10;10;1128;702;157;114;34;28;454;343;64;55;19;17;333;258;52;47;19;17;23;7;6;6;23;7;6;6;4;1;1;1;13;5;4;4;13;5;4;4;3;1;1;1;11;3;3;3;11;3;3;3;3;1;1;1;263;84;23;7;4;1;130;49;13;5;3;1;102;31;11;3;3;1;3;1;2;1;1;1;1;1;3;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;49;17;19;10;3;1;2;1;1;1;1;1;19;8;14;6;2;1;2;1;1;1;1;1;17;6;14;6;2;1;2;1;1;1;1;1;18612;1.8930447996191941
13;entre;1057;250;320;84;71;42;514;137;164;57;44;31;290;71;88;30;34;27;4046;1481;281;2214;853;162;1309;463;130;238;10;43;8;33;6;12;6;8;5;8;5;108;8;16;7;20;6;10;6;8;5;8;5;44;3;8;3;11;3;6;3;6;3;6;3;938;60;202;11;26;8;457;45;104;10;18;7;255;18;59;5;16;5;514;8;137;6;164;6;57;6;44;6;31;6;514;8;137;6;164;6;57;6;44;6;31;6;290;2;71;2;88;2;30;2;34;2;27;2;2214;51;853;11;162;7;2214;51;853;11;162;7;1309;11;463;3;130;3;108;4;8;4;16;4;7;4;20;4;6;4;10;4;6;4;8;4;5;4;8;4;5;4;108;4;8;4;16;4;7;4;20;4;6;4;10;4;6;4;8;4;5;4;8;4;5;4;44;2;3;2;8;2;3;2;11;2;3;2;6;2;3;2;6;2;3;2;6;2;3;2;457;22;45;22;104;6;10;6;18;5;7;5;457;22;45;22;104;6;10;6;18;5;7;5;255;6;18;6;59;3;5;3;16;3;5;3;30648;3.11723818067532
14;après;1481;475;39;6;4;4;378;146;6;6;4;4;241;100;6;6;4;4;4046;83;9;1361;27;9;841;17;9;202;14;76;5;7;3;3;2;2;2;2;2;48;7;23;5;3;2;3;2;2;2;2;2;33;6;20;5;3;2;3;2;2;2;2;2;589;38;13;3;2;2;188;14;4;2;2;2;124;12;4;2;2;2;519;85;179;18;6;6;3;3;3;3;3;3;104;17;40;8;3;3;3;3;3;3;3;3;76;16;34;8;3;3;3;3;3;3;3;3;1559;272;12;12;6;6;492;82;7;7;6;6;280;63;6;6;6;6;68;3;5;3;36;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;14;2;3;2;9;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;13;2;3;2;9;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;220;14;20;8;2;2;2;2;2;2;2;2;71;5;7;4;2;2;2;2;2;2;2;2;45;4;7;4;2;2;2;2;2;2;2;2;15585;1.585165656676614
15;monde;938;365;113;76;57;57;457;202;52;41;32;32;255;118;23;20;15;15;4046;453;158;2214;230;82;1309;125;56;295;177;111;92;48;37;35;33;27;27;27;27;93;72;42;38;14;12;9;9;7;7;7;7;66;57;36;35;10;9;9;9;7;7;7;7;1128;702;149;112;60;52;454;343;57;47;19;15;333;258;41;35;17;15;91;58;39;38;7;2;2;2;2;2;2;2;45;32;25;24;3;2;2;2;2;2;2;2;28;18;14;14;3;2;2;2;2;2;2;2;555;239;34;10;9;9;322;137;20;6;5;5;196;80;11;5;5;5;31;18;20;13;9;8;6;6;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;12;8;9;7;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;8;5;7;5;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;157;76;114;56;9;5;8;5;4;4;4;4;64;30;55;27;4;2;4;2;1;1;1;1;52;23;47;21;3;1;3;1;1;1;1;1;20055;2.0398137468495023
16;moins;1368;362;335;92;124;71;466;138;87;33;48;27;293;75;60;25;36;20;4046;938;322;1361;231;83;841;159;56;232;109;82;61;61;26;23;17;22;13;16;13;75;41;27;24;17;7;8;7;9;5;5;5;45;27;17;17;12;7;7;7;9;5;5;5;1128;702;295;177;83;52;344;224;72;41;27;9;204;136;51;31;20;5;166;82;35;11;40;29;8;4;5;5;4;4;42;20;10;6;8;8;3;3;4;4;3;3;37;16;7;3;8;8;3;3;4;4;3;3;555;239;91;58;21;9;141;71;13;13;4;4;113;57;13;13;4;4;26;15;16;11;12;9;9;9;7;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;7;5;6;5;5;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;157;76;114;56;31;18;20;13;6;5;5;5;26;18;22;16;3;3;3;3;2;2;2;2;17;13;13;11;3;3;3;3;2;2;2;2;19364;1.9695314581896666
17;autre;1057;250;320;84;71;42;514;137;164;57;44;31;290;71;88;30;34;27;4046;1481;281;2214;853;162;1309;463;130;239;103;53;32;62;28;17;15;20;11;11;9;109;51;23;18;27;15;10;10;10;8;7;7;67;28;17;13;13;8;7;7;7;7;7;7;977;313;307;124;69;25;520;172;160;67;30;16;300;92;72;33;22;15;404;56;72;12;94;8;20;5;19;5;10;5;122;21;26;8;33;6;14;5;11;5;8;5;80;12;12;5;20;6;7;5;7;5;5;5;1559;272;519;85;110;35;597;116;211;39;49;16;401;69;132;27;39;15;64;7;27;5;14;5;7;5;11;3;7;3;5;3;3;3;7;3;5;3;5;3;3;3;14;4;6;4;4;4;4;4;4;3;4;3;3;3;3;3;4;3;4;3;3;3;3;3;12;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;234;54;61;18;52;22;21;10;15;8;5;3;74;19;15;9;12;6;7;5;5;3;4;3;55;8;7;3;8;4;4;3;4;3;3;3;25233;2.5664732123786336
18;chose;1128;171;344;59;43;5;454;42;110;7;24;4;333;42;52;7;21;4;4046;1361;194;2214;667;111;1309;226;98;49;19;14;14;11;7;5;5;1;1;1;1;19;3;3;3;1;1;1;1;1;1;1;1;17;3;3;3;1;1;1;1;1;1;1;1;263;62;48;17;9;3;130;23;15;5;5;3;102;17;8;3;5;3;219;140;44;30;52;28;16;8;10;10;3;3;71;44;11;9;10;6;4;3;5;5;3;3;65;41;11;9;7;5;4;3;5;5;3;3;711;374;184;103;27;27;334;179;72;43;15;15;234;114;26;13;12;12;27;15;12;12;10;10;10;10;5;4;4;4;3;3;3;3;1;1;1;1;1;1;1;1;12;5;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;12;5;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;153;54;44;44;19;12;11;11;2;2;1;1;72;21;17;17;6;3;3;3;1;1;1;1;64;15;11;11;4;1;1;1;1;1;1;1;18245;1.855716869173232
